Corriente CA L1 | FRONIUS Symo 15.0-3 208 (1),Corriente CA L2 | FRONIUS Symo 15.0-3 208 (1),Corriente CA L3 | FRONIUS Symo 15.0-3 208 (1),Corriente CC MPP1 | FRONIUS Symo 15.0-3 208 (1),Corriente CC MPP2 | FRONIUS Symo 15.0-3 208 (1),Energía | FRONIUS Symo 15.0-3 208 (1),Energía MPP1 | FRONIUS Symo 15.0-3 208 (1),Energía MPP2 | FRONIUS Symo 15.0-3 208 (1),Factor de potencia | FRONIUS Symo 15.0-3 208 (1),Potencia aparente | FRONIUS Symo 15.0-3 208 (1),Potencia reactiva | FRONIUS Symo 15.0-3 208 (1),Rendimiento específico | FRONIUS Symo 15.0-3 208 (1),Tensión CA L1-L2 | FRONIUS Symo 15.0-3 208 (1),Tensión CA L2-L3 | FRONIUS Symo 15.0-3 208 (1),Tensión CA L3-L1 | FRONIUS Symo 15.0-3 208 (1),Tensión CC MPP1 | FRONIUS Symo 15.0-3 208 (1),Tensión CC MPP2 | FRONIUS Symo 15.0-3 208 (1),Consumido directamente,Consumo,Energía guardada en la batería,Energía obtenida de la batería,Energía obtenida de la red,Energía suministrada a la red,Producción fotovoltaica,Hora,Fecha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.2,0.0,6.0,0.0,0.0,6.0,0.0,0.0,00:00,19.04.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.2,0.0,7.0,0.0,0.0,7.0,0.0,0.0,00:05,19.04.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.003,10.003,0.0,7.0,0.0,0.0,7.0,0.0,0.0,00:10,19.04.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,0.0,7.0,0.0,0.0,7.0,0.0,0.0,00:15,19.04.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.804,9.804,0.0,6.0,0.0,0.0,6.0,0.0,0.0,00:20,19.04.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,10.4,0.0,7.0,0.0,0.0,7.0,0.0,0.0,00:25,19.04.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.002,10.002,0.0,7.0,0.0,0.0,7.0,0.0,0.0,00:30,19.04.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,0.0,7.0,0.0,0.0,7.0,0.0,0.0,00:35,19.04.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.601,10.601,0.0,6.0,0.0,0.0,6.0,0.0,0.0,00:40,19.04.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,10.8,0.0,7.0,0.0,0.0,7.0,0.0,0.0,00:45,19.04.2023
